#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
628688523155,628693214407,628693303925,628711329665,0,856
628688523155,628693214407,628694256964,628711329665,1,856
628721670270,628726502680,628726555559,628744629470,0,859
628721670270,628726502680,628727383033,628744629470,1,859
628754833284,628759832881,628759993884,628781315792,0,862
628754833284,628759832881,628760789147,628781315792,1,862
628787971815,628793157663,628793222575,628811344796,0,865
628787971815,628793157663,628793940593,628811344796,1,865
628821610344,628826322163,628826371646,628844693071,0,868
628821610344,628826322163,628827297124,628844693071,1,868
628854747106,628859638198,628859687240,628877978068,0,871
628854747106,628859638198,628860472615,628877978068,1,871
628887894066,628892874674,628892929306,628914596162,0,874
628887894066,628892874674,628893651432,628914596162,1,874
628921519181,628926234551,628926294103,628944624565,0,877
628921519181,628926234551,628926995459,628944624565,1,877
628954665857,628959605839,628959680309,628977962230,0,880
