#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
621331557935,621336374118,621337279087,621370458846,1,193
621364692709,621369661129,621369793888,621403760224,0,196
621364692709,621369661129,621370537063,621403760224,1,196
621397841729,621402992683,621403150780,621436903204,0,199
621397841729,621402992683,621403831007,621436903204,1,199
621431489915,621436171700,621436267330,621470258162,0,202
621431489915,621436171700,621436974417,621470258162,1,202
621464630530,621469527480,621469630884,621503498124,0,205
621464630530,621469527480,621470341518,621503498124,1,205
621497770421,621502785636,621502885684,621536770567,0,208
621497770421,621502785636,621503569548,621536770567,1,208
621530923791,621536039815,621536129694,621570292148,0,211
621530923791,621536039815,621536852962,621570292148,1,211
621564557677,621569475815,621569667044,621603695566,0,214
621564557677,621569475815,621570390232,621603695566,1,214
621597699701,621602632300,621602892208,621636759258,0,217
621597699701,621602632300,621603837693,621636759258,1,217
621630860460,621635868726,621636138943,621670321054,0,220
621630860460,621635868726,621636909840,621670321054,1,220
621664504304,621669472551,621669702443,621703318421,0,223
621664504304,621669472551,621670406054,621703318421,1,223
621697647786,621702542544,621702666917,621737030840,0,226
621697647786,621702542544,621703406786,621737030840,1,226
621730796911,621736170845,621736331607,621769863988,0,229
621730796911,621736170845,621737111150,621769863988,1,229
621763959072,621769132394,621769247611,621803143975,0,232
621763959072,621769132394,621769957995,621803143975,1,232
621797611681,621802386092,621802460983,621836504584,0,235
621797611681,621802386092,621803260243,621836504584,1,235
621830755444,621835767951,621835856848,621869684453,0,238
621830755444,621835767951,621836582240,621869684453,1,238
621863890915,621868960684,621869052306,621903064768,0,241
621863890915,621868960684,621869780513,621903064768,1,241
621897524274,621902160661,621902272802,621936588012,0,244
621897524274,621902160661,621903159336,621936588012,1,244
621930664513,621935554232,621935663837,621969846409,0,247
621930664513,621935554232,621936674946,621969846409,1,247
621963816689,621969130385,621969227617,622002798340,0,250
621963816689,621969130385,621969957157,622002798340,1,250
621996955269,622002095020,622002197663,622036084660,0,253
621996955269,622002095020,622002903207,622036084660,1,253
622030606003,622035385667,622035463273,622069676973,0,256
622030606003,622035385667,622036204414,622069676973,1,256
622063754483,622068861993,622068981698,622102867643,0,259
622063754483,622068861993,622069762974,622102867643,1,259
622096911363,622102091095,622102217282,622136049235,0,262
622096911363,622102091095,622102957161,622136049235,1,262
622130569743,622135301351,622135420575,622169336897,0,265
622130569743,622135301351,622136141238,622169336897,1,265
622163689184,622168601416,622168672079,622203119578,0,268
622163689184,622168601416,622169431675,622203119578,1,268
622196830398,622202080437,622202234216,622236072471,0,271
622196830398,622202080437,622203207633,622236072471,1,271
622230479770,622235283780,622235445524,622269300791,0,274
622230479770,622235283780,622236177678,622269300791,1,274
622263615525,622268611387,622268668273,622302484538,0,277
622263615525,622268611387,622269393846,622302484538,1,277
622296752330,622301662384,622301712158,622336120613,0,280
622296752330,622301662384,622302610284,622336120613,1,280
622329907831,622335100057,622335156263,622368834297,0,283
622329907831,622335100057,622336238104,622368834297,1,283
622363555125,622368176903,622368238759,622402320401,0,286
622363555125,622368176903,622368909999,622402320401,1,286
622396695975,622401539556,622401588828,622435663668,0,289
622396695975,622401539556,622402477857,622435663668,1,289
622429834941,622434921624,622434974784,622469313319,0,292
622429834941,622434921624,622435820602,622469313319,1,292
622462987708,622468280099,622468334261,622502470616,0,295
622462987708,622468280099,622469396665,622502470616,1,295
622496631220,622501494413,622501549076,622535679379,0,298
622496631220,622501494413,622502601431,622535679379,1,298
622529768738,622534798125,622534850453,622568691203,0,301
622529768738,622534798125,622535811758,622568691203,1,301
622562907338,622567979998,622568036774,622602499502,0,304
622562907338,622567979998,622568771734,622602499502,1,304
622596550813,622601462024,622601516767,622635347969,0,307
622596550813,622601462024,622602630638,622635347969,1,307
622629683268,622634506629,622634580228,622669060468,0,310
622629683268,622634506629,622635467183,622669060468,1,310
622662846088,622667853422,622667940195,622702082802,0,313
622662846088,622667853422,622669152601,622702082802,1,313
622696498054,622701294893,622701424115,622735165048,0,316
622696498054,622701294893,622702188831,622735165048,1,316
622729630759,622734398929,622734479350,622768517320,0,319
622729630759,622734398929,622735249085,622768517320,1,319
622762787199,622767646546,622767755641,622801867449,0,322
622762787199,622767646546,622768615345,622801867449,1,322
622795933417,622801033714,622801114185,622835111930,0,325
622795933417,622801033714,622801959102,622835111930,1,325
622829581988,622834327387,622834411745,622868364626,0,328
622829581988,622834327387,622835196749,622868364626,1,328
622862726850,622867635948,622867708033,622901939667,0,331
622862726850,622867635948,622868450748,622901939667,1,331
622895857524,622900872864,622900921806,622935226207,0,334
622895857524,622900872864,622902109145,622935226207,1,334
622929507912,622934347998,622934393814,622968564013,0,337
622929507912,622934347998,622935320223,622968564013,1,337
622962716319,622967787856,622967851545,623001989754,0,340
622962716319,622967787856,622968689488,623001989754,1,340
622995894177,623001170566,623001258501,623035528606,0,343
622995894177,623001170566,623002167016,623035528606,1,343
