#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
7466724343894,7466726877285,7466728664473,7466750671258,0,49
7466724343894,7466728663682,7466728837387,7466750671258,1,49
7466757633294,7466760177506,7466762088506,7466783615282,0,50
7466757633294,7466762087744,7466762261790,7466783615282,1,50
7466790921094,7466793430398,7466795373077,7466817208151,0,51
7466790921094,7466795371705,7466795561721,7466817208151,1,51
7466824211194,7466826362389,7466828829791,7466852392371,0,52
7466824211194,7466828828138,7466829077075,7466852392371,1,52
7466857501194,7466872338927,7466879752905,7466916144197,0,53
7466857501194,7466879749980,7466880437678,7466916144197,1,53
7466890789594,7466895534950,7466899737592,7466933446399,0,54
7466890789594,7466899736180,7466900837883,7466933446399,1,54
7466924079694,7466926704038,7466929070181,7466950661107,0,55
7466924079694,7466929069018,7466929311603,7466950661107,1,55
7466957369294,7466959576618,7466961395676,7466983966307,0,56
7466957369294,7466961394253,7466961575092,7466983966307,1,56
7466990657294,7466993106800,7466994943981,7467017004227,0,57
7466990657294,7466994943050,7466995127084,7467017004227,1,57
7467023947494,7467026443739,7467028312841,7467050236270,0,58
7467023947494,7467028312009,7467028503237,7467050236270,1,58
7467057237294,7467059486809,7467061450647,7467130831197,0,59
7467057237294,7467061449094,7467061633861,7467130831197,1,59
7467090530894,7467098867019,7467104953671,7467149833865,0,60
7467090530894,7467104950706,7467105532525,7467149833865,1,60
7467123815894,7467127452267,7467130509675,7467162117596,0,61
7467123815894,7467130508242,7467130919402,7467162117596,1,61
7467157104094,7467159798050,7467161842450,7467184370862,0,62
7467157104094,7467161841418,7467162194790,7467184370862,1,62
7467190400694,7467193079306,7467194927027,7467217367705,0,63
7467190400694,7467194925925,7467195106253,7467217367705,1,63
7467223705794,7467226311279,7467228260220,7467250512675,0,64
7467223705794,7467228258957,7467228433584,7467250512675,1,64
7467256971994,7467259466258,7467261338946,7467283835288,0,65
7467256971994,7467261338084,7467261521918,7467283835288,1,65
7467290268294,7467292759475,7467294513772,7467317305888,0,66
7467290268294,7467294512790,7467294688679,7467317305888,1,66
7467323577194,7467326112605,7467328351069,7467350304544,0,67
7467323577194,7467328350047,7467328567815,7467350304544,1,67
7467356840694,7467359105400,7467361426118,7467384264851,0,68
7467356840694,7467361425056,7467361654676,7467384264851,1,68
7467390137194,7467392256452,7467394128008,7467418601674,0,69
7467390137194,7467394126846,7467394308847,7467418601674,1,69
7467423431594,7467425915174,7467427737869,7467452506848,0,70
7467423431594,7467427736677,7467427920411,7467452506848,1,70
7467456709994,7467458909793,7467460627230,7467486156153,0,71
7467456709994,7467460624715,7467460823337,7467486156153,1,71
7467489999494,7467492233257,7467494122526,7467519907229,0,72
7467489999494,7467494121545,7467494312132,7467519907229,1,72
7467523287594,7467525384980,7467527193568,7467553346550,0,73
7467523287594,7467527191504,7467527392961,7467553346550,1,73
7467556578294,7467558939968,7467561217394,7467586808684,0,74
7467556578294,7467561215731,7467561408462,7467586808684,1,74
7467589866294,7467592409947,7467594117065,7467620127460,0,75
7467589866294,7467594115382,7467594309255,7467620127460,1,75
7467623155794,7467625387253,7467627234554,7467653557043,0,76
7467623155794,7467627232770,7467627444016,7467653557043,1,76
7467656445894,7467658748939,7467660540375,7467686970045,0,77
7467656445894,7467660538932,7467660743566,7467686970045,1,77
7467689735094,7467691877028,7467693636323,7467720283351,0,78
7467689735094,7467693634850,7467693819877,7467720283351,1,78
7467723023194,7467725432116,7467727444315,7467753284602,0,79
7467723023194,7467727443023,7467727628631,7467753284602,1,79
7467756314194,7467758698573,7467760471254,7467786709125,0,80
7467756314194,7467760467257,7467760690325,7467786709125,1,80
7467789603994,7467791850967,7467793718155,7467820182531,0,81
7467789603994,7467793717203,7467793923530,7467820182531,1,81
7467822899794,7467846364567,7467856781291,7467896404186,0,82
7467822899794,7467856778706,7467857523211,7467896404186,1,82
7467856199994,7467864449315,7467869535172,7467919087077,0,83
7467856199994,7467869533910,7467870044637,7467919087077,1,83
7467889470894,7467893189935,7467896119943,7467927866193,0,84
7467889470894,7467896118661,7467896507910,7467927866193,1,84
7467922768194,7467925496213,7467927649377,7467952894599,0,85
7467922768194,7467927648495,7467927939551,7467952894599,1,85
7467956049894,7467958287401,7467960342040,7467986498809,0,86
7467956049894,7467960340066,7467960522127,7467986498809,1,86
7467989338794,7467991564979,7467993362206,7468019958789,0,87
7467989338794,7467993361124,7467993549246,7468019958789,1,87
7468022634994,7468024869318,7468026775218,7468053437665,0,88
7468022634994,7468026773906,7468026954424,7468053437665,1,88
7468055918494,7468058137509,7468060185014,7468086776608,0,89
7468055918494,7468060183782,7468060374239,7468086776608,1,89
7468089206994,7468091652322,7468093550748,7468120184801,0,90
7468089206994,7468093548464,7468093736957,7468120184801,1,90
7468122503794,7468124961990,7468127432148,7468178004294,0,91
7468122503794,7468127430855,7468127670093,7468178004294,1,91
7468155786794,7468168668054,7468177340991,7468218361354,0,92
7468155786794,7468177334319,7468178202796,7468218361354,1,92
7468189076194,7468194418412,7468199173029,7468227908248,0,93
7468189076194,7468199170645,7468199561907,7468227908248,1,93
7468222365494,7468225157966,7468227669080,7468252230621,0,94
7468222365494,7468227667287,7468228005330,7468252230621,1,94
7468255653694,7468277297759,7468286718517,7468328826427,0,95
7468255653694,7468286716072,7468287566545,7468328826427,1,95
7468288944194,7468295330099,7468300470538,7468352069157,0,96
7468288944194,7468300468885,7468300937162,7468352069157,1,96
7468322232594,7468325631482,7468328533448,7468360654671,0,97
7468322232594,7468328532476,7468328887221,7468360654671,1,97
7468355521594,7468358039682,7468360453003,7468385857272,0,98
7468355521594,7468360451660,7468360737877,7468385857272,1,98
7468388812394,7468391392942,7468393799320,7468419683489,0,99
7468388812394,7468393797587,7468394079315,7468419683489,1,99
7468422102794,7468424443716,7468426770264,7468453275035,0,100
7468422102794,7468426768190,7468427008751,7468453275035,1,100
7468455390194,7468457658186,7468459720159,7468486688829,0,101
7468455390194,7468459717374,7468459927056,7468486688829,1,101
7468488680894,7468491103659,7468493204805,7468520143860,0,102
7468488680894,7468493203553,7468493402686,7468520143860,1,102
7468521971194,7468524296829,7468526317184,7468553546272,0,103
7468521971194,7468526315822,7468526514935,7468553546272,1,103
7468555287194,7468557756559,7468559739674,7468586887450,0,104
7468555287194,7468559735877,7468559959356,7468586887450,1,104
7468588548294,7468590807423,7468592726608,7468620259385,0,105
7468588548294,7468592725266,7468592931061,7468620259385,1,105
7468621836894,7468624378291,7468626379700,7468653588851,0,106
7468621836894,7468626376995,7468626582119,7468653588851,1,106
7468655154194,7468657303629,7468659450922,7468686874765,0,107
7468655154194,7468659449509,7468659714506,7468686874765,1,107
7468688416094,7468690691805,7468692589290,7468720229478,0,108
7468688416094,7468692586474,7468692796368,7468720229478,1,108
7468721705794,7468723828971,7468725735683,7468753627813,0,109
7468721705794,7468725733378,7468725946678,7468753627813,1,109
7468755001294,7468757167523,7468759532494,7468787004046,0,110
7468755001294,7468759529047,7468759735825,7468787004046,1,110
7468788284494,7468790589442,7468792672154,7468820302403,0,111
7468788284494,7468792668777,7468792879212,7468820302403,1,111
7468821573094,7468824162153,7468826522686,7468853613564,0,112
7468821573094,7468826519500,7468826728070,7468853613564,1,112
7468854871494,7468857243795,7468859176335,7468887013602,0,113
7468854871494,7468859174933,7468859387330,7468887013602,1,113
7468888154394,7468890098962,7468892013819,7468920404293,0,114
7468888154394,7468892012707,7468892200279,7468920404293,1,114
7468921441294,7468923991803,7468925951474,7468953698302,0,115
7468921441294,7468925950212,7468926144045,7468953698302,1,115
7468954732294,7468957102359,7468959022866,7468987025664,0,116
7468954732294,7468959021183,7468959202693,7468987025664,1,116
7468988020194,7468990180854,7468992077097,7469020369356,0,117
7468988020194,7468992076075,7468992252836,7469020369356,1,117
7469021310294,7469023692742,7469025675997,7469053630995,0,118
7469021310294,7469025674625,7469025854071,7469053630995,1,118
7469054599194,7469056883187,7469058770262,7469086974316,0,119
