#sampled,frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received,consumer_state_pushed,vit_consumer_pose_received,received_by_monado
7465659082094,7465659082094,36356202296787,36356202643366,36356202643406,36356202668243,36356202722294,36356203350631,36356208306645,36356208309330,36356208717685,36356209277333,36356210861371,36356210870708,36356210871179,36356210908429,36356211033693,36356211412664,36356212442174,36356212507017,36356212608376,36356212880894,36356212951817,36356212957097,36356212982123,36356212985159,36356224953609,36356225025053
7465692371694,7465692371694,36356235993661,36356236337886,36356236337936,36356236363514,36356236410562,36356237127324,36356242378612,36356242384743,36356242953979,36356243812327,36356245503706,36356245518994,36356245519445,36356245555242,36356245678824,36356246078211,36356247077524,36356247142775,36356247243042,36356247531544,36356247609140,36356247616303,36356247640168,36356247643063,36356258383734,36356258447373
7465725667494,7465725667494,36356269074370,36356269424396,36356269424827,36356269450856,36356269500819,36356270150997,36356275454793,36356275457798,36356275954910,36356276596752,36356278270988,36356278282770,36356278283251,36356278301315,36356278454252,36356278821179,36356279827196,36356279887098,36356279976105,36356280243103,36356280301131,36356280306712,36356280319426,36356280322201,36356291199537,36356291256484
7465758950894,7465758950894,36356302369031,36356302717764,36356302717954,36356302742531,36356302793616,36356303485803,36356308664714,36356308667540,36356309232288,36356310040953,36356311756486,36356311767046,36356311767146,36356311797804,36356311919131,36356312227298,36356312936857,36356312976461,36356313048248,36356313293265,36356313355782,36356313361072,36356313386740,36356313389796,36356324094799,36356324171363
7465792239894,7465792239894,36356335682837,36356336031390,36356336031590,36356336046528,36356336108485,36356336770154,36356342061376,36356342068980,36356342756959,36356343540827,36356345295695,36356345306525,36356345306796,36356345329128,36356345630963,36356346010454,36356346926150,36356346975823,36356347081912,36356347356956,36356347432488,36356347437387,36356347463476,36356347468465,36356358100813,36356358167037
7465825536094,7465825536094,36356368695449,36356369058540,36356369058660,36356369086702,36356369138700,36356369814335,36356375101380,36356375104025,36356375741889,36356376480172,36356378162514,36356378177131,36356378177792,36356378206416,36356378383828,36356378760294,36356379673105,36356379738728,36356379837983,36356380135580,36356380208316,36356380213546,36356380239996,36356380243242,36356391228611,36356391283523
7465858822394,7465858822394,36356402072564,36356402413443,36356402413663,36356402437989,36356402488423,36356403194446,36356408257120,36356408260035,36356408879726,36356410111524,36356412115307,36356412126448,36356412126849,36356412150804,36356412262443,36356412654198,36356413749539,36356413817145,36356413931799,36356414239857,36356414300982,36356414305811,36356414334945,36356414338261,36356424909595,36356424967303
7465892129894,7465892129894,36356435195383,36356436094407,36356436094447,36356436118963,36356436167564,36356436808565,36356441817298,36356441819882,36356442312636,36356443071968,36356444955306,36356444965094,36356444965525,36356444981916,36356445130344,36356445435966,36356446601689,36356446666659,36356446768520,36356447111686,36356447192727,36356447198138,36356447238904,36356447243603,36356457949949,36356458030971
7465925404594,7465925404594,36356468896695,36356469250818,36356469250979,36356469275384,36356469324056,36356470042842,36356475472584,36356475479587,36356476216387,36356476950642,36356478627624,36356478635389,36356478635609,36356478660686,36356478784107,36356479232516,36356480432123,36356480516932,36356480631810,36356480943773,36356481025626,36356481031657,36356481053669,36356481055953,36356490861512,36356490921033
7465958686294,7465958686294,36356501927221,36356502275333,36356502275463,36356502310389,36356502363618,36356503077145,36356508402561,36356508408202,36356508931101,36356509751187,36356511384226,36356511392292,36356511392482,36356511426836,36356511582257,36356511926784,36356512958856,36356513020320,36356513157517,36356513477207,36356513546066,36356513550465,36356513572977,36356513574810,36356524251130,36356524325700
7465991989594,7465991989594,36356535321698,36356535661465,36356535661645,36356535686321,36356535757395,36356536530563,36356541896755,36356541902857,36356542714678,36356543714410,36356545430755,36356545442447,36356545442678,36356545469378,36356545611614,36356545909272,36356546581232,36356546648838,36356546727545,36356546974337,36356547075967,36356547082009,36356547109130,36356547113037,36356557150109,36356557214169
7466025264894,7466025264894,36356568608003,36356568953300,36356568953430,36356568977606,36356569042748,36356569793203,36356575537354,36356575547573,36356576172033,36356577014501,36356579170009,36356579183394,36356579183755,36356579204033,36356579555661,36356579810218,36356580248478,36356580296729,36356580370798,36356580586272,36356580660280,36356580671051,36356580687742,36356580689846,36356590879023,36356590958522
7466058554294,7466058554294,36356602087941,36356602442224,36356602442345,36356602467081,36356602515562,36356603244658,36356608629014,36356608637069,36356609197669,36356609904543,36356611590211,36356611597445,36356611597725,36356611624546,36356611746073,36356612089405,36356612895225,36356612934638,36356613009207,36356613280347,36356613381487,36356613387017,36356613414118,36356613417084,36356623731485,36356623835360
7466091845194,7466091845194,36356635188217,36356635529236,36356635529356,36356635553121,36356635600960,36356636297064,36356641476517,36356641481556,36356642091369,36356642915853,36356644596381,36356644604547,36356644605027,36356644632158,36356644750790,36356645046594,36356645841012,36356645889193,36356645983160,36356646276168,36356646364223,36356646370194,36356646402865,36356646407754,36356656580461,36356656622369
7466125134394,7466125134394,36356668608363,36356669510372,36356669511054,36356669540759,36356669595231,36356670184686,36356676199483,36356676208370,36356676787575,36356677534784,36356679104375,36356679112169,36356679113311,36356679139520,36356679234378,36356679520562,36356680508996,36356680592664,36356680699985,36356680959590,36356681038608,36356681046363,36356681080767,36356681083252,36356689560893,36356689636955
7466158422994,7466158422994,36356701856436,36356702205319,36356702205490,36356702232711,36356702294787,36356703141122,36356708570383,36356708577637,36356709244907,36356710064282,36356711712008,36356711720143,36356711720674,36356711738137,36356711849496,36356712274802,36356713276418,36356713336560,36356713441396,36356713762219,36356713837400,36356713841758,36356713867286,36356713870201,36356723315144,36356723356802
7466191713994,7466191713994,36356735069684,36356735416594,36356735416774,36356735448293,36356735502394,36356736250305,36356741498236,36356741503697,36356742249674,36356743397785,36356745110824,36356745120813,36356745121263,36356745142213,36356745258430,36356745575965,36356746637844,36356746699371,36356746823994,36356747121160,36356747210557,36356747215376,36356747241585,36356747243509,36356756409419,36356756504457
7466225003394,7466225003394,36356768252014,36356768590778,36356768590969,36356768617829,36356768670788,36356769379225,36356775186294,36356775192986,36356775738017,36356776637643,36356778284508,36356778292132,36356778292523,36356778312720,36356778431643,36356778703111,36356779454537,36356779498289,36356779574783,36356779856713,36356779936502,36356779941341,36356779961730,36356779965126,36356789739446,36356789811070
7466258291294,7466258291294,36356801805770,36356802155194,36356802155335,36356802182916,36356802235134,36356802934544,36356808584148,36356808590770,36356809222023,36356810020378,36356811593074,36356811603484,36356811603904,36356811618842,36356811975501,36356812269741,36356813164337,36356813218158,36356813320611,36356813610624,36356813684622,36356813688880,36356813713667,36356813715851,36356822796532,36356822858107
7466291581494,7466291581494,36356835064834,36356835404620,36356835404750,36356835423455,36356835462488,36356836150738,36356841130586,36356841134363,36356841810139,36356842846571,36356844414318,36356844422493,36356844422693,36356844435758,36356844534262,36356844954178,36356845946657,36356846020095,36356846130371,36356846453818,36356846549267,36356846553365,36356846578261,36356846580395,36356856489709,36356856569498
7466324869494,7466324869494,36356868253125,36356868598462,36356868598502,36356868612057,36356868650750,36356869342425,36356874520666,36356874530244,36356875404301,36356876411528,36356877785301,36356877799197,36356877799267,36356877821970,36356877905326,36356878184880,36356879056684,36356879108891,36356879237643,36356879545008,36356879677125,36356879686112,36356879710908,36356879712942,36356889537086,36356889621875
7466358195394,7466358195394,36356901367838,36356902244500,36356902244681,36356902259569,36356902303691,36356902925436,36356908266110,36356908271881,36356908982953,36356910193271,36356911613672,36356911626686,36356911627087,36356911643998,36356911776286,36356912124257,36356912916310,36356912961093,36356913044049,36356913316431,36356913412692,36356913416549,36356913440153,36356913442087,36356922629397,36356922723874
