#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
1069923303811,1069928161402,1069928221765,1069961774046,0,172
1069923303811,1069928161402,1069928907933,1069961774046,1,172
1069956455836,1069961143503,1069961175873,1069995266956,0,175
1069956455836,1069961143503,1069961845230,1069995266956,1,175
1069989622231,1069994694582,1069994754675,1070028478308,0,178
1069989622231,1069994694582,1069995328632,1070028478308,1,178
1070022774420,1070027945057,1070028018765,1070061557862,0,181
1070022774420,1070027945057,1070028575280,1070061557862,1,181
1070056413443,1070061067932,1070061128075,1070095204220,0,184
1070056413443,1070061067932,1070061613697,1070095204220,1,184
1070089551024,1070094519093,1070094592712,1070128342574,0,187
1070089551024,1070094519093,1070095255676,1070128342574,1,187
1070122733891,1070127783514,1070127842175,1070161789508,0,190
1070122733891,1070127783514,1070128433114,1070161789508,1,190
1070156358545,1070161122205,1070161184532,1070195164436,0,193
1070156358545,1070161122205,1070161889365,1070195164436,1,193
1070189525774,1070194472788,1070194531859,1070228374475,0,196
1070189525774,1070194472788,1070195265817,1070228374475,1,196
1070222696526,1070227684470,1070227752718,1070261895177,0,199
1070222696526,1070227684470,1070228465616,1070261895177,1,199
1070255835075,1070261326309,1070261388256,1070294871257,0,202
1070255835075,1070261326309,1070261985948,1070294871257,1,202
1070289481849,1070294282362,1070294344238,1070328119698,0,205
1070289481849,1070294282362,1070294923125,1070328119698,1,205
1070322642967,1070327544128,1070327604421,1070361527378,0,208
1070322642967,1070327544128,1070328218744,1070361527378,1,208
1070355753136,1070360882818,1070360917333,1070394276352,0,211
1070355753136,1070360882818,1070361606767,1070394276352,1,211
1070389378729,1070393775401,1070393819213,1070427895839,0,214
1070389378729,1070393775401,1070394344830,1070427895839,1,214
1070422536976,1070427284882,1070427342971,1070461393979,0,217
1070422536976,1070427284882,1070427958016,1070461393979,1,217
1070455687613,1070460754188,1070460816585,1070494493160,0,220
1070455687613,1070460754188,1070461490951,1070494493160,1,220
1070488829144,1070493761707,1070493826719,1070527666511,0,223
1070488829144,1070493761707,1070494574323,1070527666511,1,223
1070522479440,1070527075381,1070527132298,1070561287361,0,226
1070522479440,1070527075381,1070527747493,1070561287361,1,226
1070555601693,1070560590232,1070560654883,1070594200683,0,229
1070555601693,1070560590232,1070561383311,1070594200683,1,229
1070588749350,1070593598773,1070593656000,1070627507073,0,232
1070588749350,1070593598773,1070594275664,1070627507073,1,232
1070622347415,1070626876749,1070626954014,1070660909413,0,235
1070622347415,1070626876749,1070627572145,1070660909413,1,235
1070655450490,1070660249353,1070660302593,1070673284185,0,238
1070655450490,1070660249353,1070660990916,1070673284185,1,238
1070688584219,1070693416923,1070693493737,1070713716103,0,241
1070688584219,1070693416923,1070694049250,1070713716103,1,241
1070721716796,1070726740906,1070726818521,1070747017563,0,244
1070721716796,1070726740906,1070727270921,1070747017563,1,244
1070755345967,1070760052986,1070760121635,1070774147197,0,247
1070755345967,1070760052986,1070760670656,1070774147197,1,247
1070788487801,1070793326965,1070793372631,1070815969555,0,250
1070788487801,1070793326965,1070793975934,1070815969555,1,250
1070821655153,1070826681856,1070826781623,1070846989642,0,253
1070821655153,1070826681856,1070827394544,1070846989642,1,253
1070855286328,1070859953591,1070860013914,1070872333473,0,256
1070855286328,1070859953591,1070860607909,1070872333473,1,256
1070888434191,1070893365318,1070893462641,1070905812647,0,259
1070888434191,1070893365318,1070893939657,1070905812647,1,259
1070921570062,1070926586959,1070926638927,1070939474374,0,262
1070921570062,1070926586959,1070927243752,1070939474374,1,262
1070954727514,1070960027241,1070960128571,1070972818154,0,265
1070954727514,1070960027241,1070960727625,1070972818154,1,265
1070988363719,1070993086376,1070993130860,1071006274746,0,268
1070988363719,1070993086376,1070993723663,1071006274746,1,268
1071021507680,1071026420127,1071026500538,1071039307242,0,271
1071021507680,1071026420127,1071026945894,1071039307242,1,271
1071054649523,1071059686071,1071059733861,1071072567916,0,274
1071054649523,1071059686071,1071060335430,1071072567916,1,274
1071088289255,1071092945343,1071092989325,1071106041860,0,277
1071088289255,1071092945343,1071093590073,1071106041860,1,277
1071121437210,1071126207800,1071126297438,1071139221983,0,280
1071121437210,1071126207800,1071126839226,1071139221983,1,280
1071154588227,1071159559736,1071159614939,1071172712849,0,283
1071154588227,1071159559736,1071160215597,1071172712849,1,283
1071188241591,1071193033219,1071193123228,1071206025481,0,286
1071188241591,1071193033219,1071193613899,1071206025481,1,286
1071221387125,1071226175321,1071226268295,1071239467455,0,289
1071221387125,1071226175321,1071226841672,1071239467455,1,289
1071254527750,1071259374429,1071259442056,1071272903709,0,292
1071254527750,1071259374429,1071259977691,1071272903709,1,292
1071287669432,1071292656754,1071292706377,1071306384647,0,295
1071287669432,1071292656754,1071293312314,1071306384647,1,295
1071321307036,1071325921475,1071326019940,1071350891354,0,298
1071321307036,1071325921475,1071326540227,1071350891354,1,298
1071354443674,1071359244446,1071359301654,1071373128132,0,301
1071354443674,1071359244446,1071359820438,1071373128132,1,301
1071387596302,1071392519297,1071392578769,1071406452766,0,304
1071387596302,1071392519297,1071393138389,1071406452766,1,304
1071421242708,1071425829775,1071425938569,1071439781037,0,307
1071421242708,1071425829775,1071426519600,1071439781037,1,307
1071454385764,1071459279584,1071459367429,1071473199046,0,310
1071454385764,1071459279584,1071459886062,1071473199046,1,310
1071487521531,1071492424240,1071492469355,1071506632354,0,313
1071487521531,1071492424240,1071492990132,1071506632354,1,313
1071520679744,1071525709610,1071525766718,1071539904971,0,316
1071520679744,1071525709610,1071526245316,1071539904971,1,316
1071554315504,1071558973380,1071559046277,1071573264350,0,319
1071554315504,1071558973380,1071559580179,1071573264350,1,319
1071587451120,1071592365240,1071592569043,1071606407373,0,322
1071587451120,1071592365240,1071593106272,1071606407373,1,322
1071620592637,1071625521328,1071625587012,1071639748839,0,325
1071620592637,1071625521328,1071626119952,1071639748839,1,325
1071654257678,1071658789596,1071658869917,1071672977593,0,328
1071654257678,1071658789596,1071659333568,1071672977593,1,328
1071687390446,1071692102769,1071692171638,1071713666764,0,331
1071687390446,1071692102769,1071692632213,1071713666764,1,331
1071720547431,1071725379583,1071725469442,1071750661809,0,334
1071720547431,1071725379583,1071726039963,1071750661809,1,334
1071753696929,1071758786582,1071758857906,1071772982744,0,337
1071753696929,1071758786582,1071759441642,1071772982744,1,337
1071787340383,1071791987995,1071792063597,1071817653700,0,340
1071787340383,1071791987995,1071792642864,1071817653700,1,340
1071820473905,1071825357854,1071825450408,1071846974097,0,343
1071820473905,1071825357854,1071826044022,1071846974097,1,343
1071853616490,1071858679533,1071858734937,1071884340058,0,346
1071853616490,1071858679533,1071859344291,1071884340058,1,346
1071887254767,1071891824610,1071891898328,1071913667838,0,349
1071887254767,1071891824610,1071892407133,1071913667838,1,349
1071920402660,1071925151889,1071925211541,1071946978817,0,352
1071920402660,1071925151889,1071925773546,1071946978817,1,352
1071953547948,1071958519243,1071958599153,1071980305966,0,355
1071953547948,1071958519243,1071959219107,1071980305966,1,355
1071986700494,1071991706038,1071991754660,1072006647079,0,358
1071986700494,1071991706038,1071992208311,1072006647079,1,358
1072020341626,1072025055800,1072025100303,1072046968579,0,361
1072020341626,1072025055800,1072025698596,1072046968579,1,361
1072053481086,1072058347412,1072058401052,1072080316337,0,364
1072053481086,1072058347412,1072058964510,1072080316337,1,364
1072086622755,1072091641649,1072091686683,1072117628327,0,367
1072086622755,1072091641649,1072092272413,1072117628327,1,367
1072120291522,1072124838433,1072124902844,1072146976505,0,370
1072120291522,1072124838433,1072125544278,1072146976505,1,370
1072153418905,1072158222989,1072158277241,1072173328819,0,373
1072153418905,1072158222989,1072158870735,1072173328819,1,373
1072186556753,1072191467223,1072191532615,1072213641343,0,376
1072186556753,1072191467223,1072192143522,1072213641343,1,376
1072219703227,1072224818347,1072224867328,1072239875465,0,379
1072219703227,1072224818347,1072225408725,1072239875465,1,379
1072253357814,1072258077608,1072258129686,1072280308294,0,382
1072253357814,1072258077608,1072258747536,1072280308294,1,382
1072286503942,1072291314517,1072291361696,1072317720172,0,385
1072286503942,1072291314517,1072291954298,1072317720172,1,385
1072319651841,1072324604677,1072324660081,1072346969505,0,388
1072319651841,1072324604677,1072325283000,1072346969505,1,388
1072353299186,1072357967563,1072358037604,1072384243874,0,391
1072353299186,1072357967563,1072358599299,1072384243874,1,391
1072386434689,1072391246050,1072391302055,1072413654079,0,394
1072386434689,1072391246050,1072391838082,1072413654079,1,394
1072419568235,1072424523496,1072424576475,1072446953366,0,397
1072419568235,1072424523496,1072425179287,1072446953366,1,397
1072452707919,1072457837620,1072457892463,1072480289702,0,400
1072452707919,1072457837620,1072458497299,1072480289702,1,400
1072486352511,1072491122399,1072491168576,1072506521891,0,403
1072486352511,1072491122399,1072491751891,1072506521891,1,403
1072519494926,1072524356754,1072524403171,1072539900296,0,406
1072519494926,1072524356754,1072524940700,1072539900296,1,406
1072552655670,1072557646122,1072557708499,1072573101218,0,409
1072552655670,1072557646122,1072558237081,1072573101218,1,409
1072586309657,1072591061747,1072591127821,1072606396266,0,412
1072586309657,1072591061747,1072591721696,1072606396266,1,412
1072619451365,1072624204119,1072624255636,1072639754473,0,415
1072619451365,1072624204119,1072624682978,1072639754473,1,415
1072652603587,1072657553580,1072657615516,1072673170249,0,418
1072652603587,1072657553580,1072658170868,1072673170249,1,418
1072686244371,1072690811138,1072690863696,1072706496245,0,421
1072686244371,1072690811138,1072691469714,1072706496245,1,421
1072719392342,1072724114552,1072724175547,1072746950034,0,424
1072719392342,1072724114552,1072724770624,1072746950034,1,424
1072752538137,1072757397758,1072757463341,1072773100318,0,427
1072752538137,1072757397758,1072758068438,1072773100318,1,427
1072785681727,1072790674803,1072790726661,1072806484074,0,430
1072785681727,1072790674803,1072791326226,1072806484074,1,430
1072819329863,1072823946748,1072824011570,1072846955545,0,433
1072819329863,1072823946748,1072824440986,1072846955545,1,433
1072852488032,1072857280680,1072857343217,1072884168990,0,436
1072852488032,1072857280680,1072857936251,1072884168990,1,436
1072885626097,1072890552675,1072890610313,1072913623849,0,439
1072885626097,1072890552675,1072891152842,1072913623849,1,439
1072919260411,1072923820753,1072923872821,1072939823617,0,442
1072919260411,1072923820753,1072924477356,1072939823617,1,442
1072952392622,1072957104801,1072957161427,1072984106504,0,445
1072952392622,1072957104801,1072957695370,1072984106504,1,445
1072985533179,1072990399018,1072990458550,1073006372998,0,448
1072985533179,1072990399018,1072991059258,1073006372998,1,448
1073018666515,1073023675071,1073023731647,1073039853414,0,451
1073018666515,1073023675071,1073024333477,1073039853414,1,451
1073052307235,1073057012549,1073057071360,1073072995135,0,454
1073052307235,1073057012549,1073057665084,1073072995135,1,454
1073085461986,1073090249449,1073090307458,1073106309620,0,457
1073085461986,1073090249449,1073090893588,1073106309620,1,457
1073118611133,1073123560257,1073123632082,1073139747607,0,460
1073118611133,1073123560257,1073124168900,1073139747607,1,460
1073152249235,1073156989838,1073157064679,1073172921769,0,463
1073152249235,1073156989838,1073157599162,1073172921769,1,463
1073185416719,1073190132250,1073190190279,1073206369694,0,466
1073185416719,1073190132250,1073190723149,1073206369694,1,466
1073218554640,1073223433049,1073223499194,1073239730046,0,469
