#display_time,wait_frame,begin_frame,locate_views,predict_filter,present,frame_id
1071698399783,1071673862945,1071684052776,1071684180365,1071684153625,1071684734646,85
1071709530005,1071684953216,1071695187981,1071695317765,1071695290774,1071695992411,86
1071720640869,1071696189952,1071706377529,1071706511180,1071706481674,1071707283790,87
1071731728631,1071707577221,1071717395674,1071717596752,1071717547489,1071718513192,88
1071742847301,1071718846248,1071728434629,1071728576275,1071728536931,1071729236304,89
1071753958165,1071729416422,1071739506606,1071739615079,1071739589161,1071740170813,90
1071765074485,1071740397168,1071750594582,1071750778207,1071750746397,1071751335764,91
1071776185349,1071751478071,1071761828393,1071761946435,1071761918272,1071762506646,92
1071787274463,1071762729605,1071772922491,1071773099493,1071773067684,1071773638115,93
1071798385327,1071773824224,1071784144560,1071784266709,1071784238346,1071784787477,94
1071809498116,1071784991450,1071795243898,1071795370275,1071795340689,1071795890932,95
1071820608980,1071796141292,1071806473691,1071806588877,1071806562167,1071807147626,96
1071831723462,1071807397305,1071817594739,1071817760841,1071817734031,1071818246703,97
1071842834326,1071818406223,1071828803082,1071828902549,1071828878945,1071829407827,98
1071853945703,1071829567217,1071839843520,1071839951402,1071839926345,1071840468523,99
1071865054364,1071840608055,1071850946023,1071851099492,1071851065768,1071851595292,100
1071876169392,1071851773808,1071862069677,1071862180515,1071862156580,1071862649305,101
1071887280256,1071862801231,1071873216975,1071873323736,1071873300422,1071873860744,102
1071898374354,1071874066380,1071884285686,1071884433093,1071884408266,1071884993094,103
1071909485218,1071885219148,1071895421272,1071895525177,1071895500952,1071896142396,104
1071920597736,1071896405800,1071906508357,1071906600730,1071906579210,1071907145142,105
1071931708600,1071907316835,1071917699147,1071917811437,1071917787402,1071918344949,106
1071942856846,1071918555014,1071928843610,1071928950921,1071928925624,1071929429520,107
1071953967710,1071929582356,1071939899276,1071940011937,1071939981059,1071940495134,108
1071965054009,1071940665935,1071950933061,1071951050411,1071951023540,1071951533107,109
1071976169403,1071951711502,1071962041355,1071962159607,1071962135452,1071962621905,110
1071987277868,1071962771396,1071973140353,1071973244328,1071973220984,1071973730280,111
1071998380683,1071973892575,1071984267433,1071984371709,1071984347644,1071984842222,112
1072009498656,1071985024875,1071995356642,1071995451280,1071995429499,1071995867231,113
1072020609520,1071996014347,1072006586525,1072006767665,1072006746435,1072007255160,114
1072031731190,1072007442131,1072017699779,1072017828822,1072017789828,1072018289797,115
1072042842054,1072018471678,1072028836778,1072028937888,1072028915556,1072029384887,116
1072053931068,1072029565416,1072039911069,1072040022368,1072039991821,1072040444691,117
1072065041932,1072040583612,1072051045493,1072051160519,1072051132446,1072051634339,118
1072076153489,1072051828653,1072062167944,1072062269796,1072062247283,1072062705303,119
1072087264353,1072062854844,1072073227528,1072073345289,1072073316986,1072073846009,120
1072098387541,1072074007272,1072084286911,1072084399292,1072084375036,1072084856520,121
1072109483889,1072085051767,1072095362514,1072095462302,1072095441042,1072095896767,122
1072120598376,1072096069963,1072106470008,1072106590183,1072106563123,1072107075875,123
1072131705709,1072107232660,1072117573844,1072117725539,1072117700893,1072118167258,124
1072142816573,1072118313012,1072128764544,1072128880622,1072128853230,1072129417359,125
1072153923215,1072129630730,1072139828215,1072139923073,1072139902164,1072140357919,126
1072165034079,1072140501830,1072150996011,1072151122519,1072151096500,1072151538059,127
1072176160994,1072151723177,1072162115046,1072162226856,1072162202050,1072162662314,128
